row_index,game_id,move_index,score
0,7,0,0
1,7,1,0
2,7,2,0
3,7,3,4
4,7,4,4
5,7,5,8
6,7,6,20
7,7,7,20
8,7,8,24
9,7,9,32
10,7,10,32
11,7,11,32
12,7,12,32
13,7,13,32
14,7,14,36
15,7,15,44
16,7,16,64
17,7,17,68
18,7,18,68
19,7,19,68
20,7,20,68
21,7,21,76
22,7,22,80
23,7,23,84
24,7,24,84
25,7,25,92
26,7,26,120
27,7,27,120
28,7,28,156
29,7,29,160
30,7,30,160
31,7,31,176
32,7,32,176
33,7,33,212
34,7,34,216
35,7,35,216
36,7,36,228
37,7,37,236
38,7,38,256
39,7,39,256
40,7,40,256
41,7,41,260
42,7,42,268
43,7,43,272
44,7,44,280
45,7,45,280
46,7,46,284
47,7,47,284
48,7,48,296
49,7,49,296
50,7,50,300
51,7,51,308
52,7,52,324
53,7,53,332
54,7,54,364
55,7,55,364
56,7,56,368
57,7,57,368
58,7,58,372
59,7,59,380
60,7,60,380
61,7,61,380
62,7,62,448
63,7,63,456
64,7,64,464
65,7,65,464
66,7,66,464
67,7,67,484
68,7,68,488
69,7,69,496
70,7,70,500
71,7,71,516
72,7,72,548
73,7,73,552
74,7,74,560
75,7,75,568
76,7,76,568
77,7,77,592
78,7,78,624
79,7,79,624
80,7,80,624
81,7,81,628
82,7,82,644
83,7,83,660
84,7,84,664
85,7,85,676
86,7,86,676
87,7,87,680
88,7,88,680
